num_keys,r,layers,epsilon,bucket,build_time,query_time,space,metadata,Z
10000000,2,4,-0.05,128,5506543972,3362051064,21374756,165516,21209240
10000000,2,4,-0.05,256,5535934718,3361438898,21503922,83556,21420366
10000000,2,4,0,32,4655967000,3330364658,20969472,635434,20334038
10000000,2,4,0,64,4771654020,3333166414,20666150,317942,20348208
10000000,2,4,0,128,4828305607,3320900100,20550106,159306,20390800
10000000,2,4,0,256,4862785475,3321461925,20558218,79994,20478224
10000000,2,4,0.05,32,4362905835,3328577116,21665454,656532,21008922
10000000,2,4,0.05,64,4317114673,3325503896,21337566,328272,21009294
10000000,2,4,0.05,128,4333764588,3311224660,21172500,164130,21008370
10000000,2,4,0.05,256,4346388727,3310012450,21092856,82076,21010780
10000000,2,4,0.1,32,4256451971,3327077920,22687640,687508,22000132
10000000,2,4,0.1,64,4217601063,3318977677,22343888,343756,22000132
10000000,2,4,0.1,128,4226436001,3317221048,22172010,171878,22000132
10000000,2,4,0.1,256,4230208974,3311327117,22086072,85940,22000132
10000000,2,4,0.15,32,4193792266,3326962983,23718754,718752,23000002
10000000,2,4,0.15,64,4180985942,3319471774,23359378,359376,23000002
10000000,2,4,0.15,128,4174466070,3319462863,23179690,179688,23000002
10000000,2,4,0.15,256,4177442504,3311396486,23089846,89844,23000002
10000000,2,4,0.2,32,4180069816,3318029096,24750004,750002,24000002
10000000,2,4,0.2,64,4145891100,3320608577,24375004,375002,24000002
10000000,2,4,0.2,128,4158115470,3312730180,24187504,187502,24000002
10000000,2,4,0.2,256,4159517620,3315432954,24093754,93752,24000002
10000000,3,2,-0.2,32,6820455529,4652818563,35742610,500002,35242608
10000000,3,2,-0.2,64,6935465931,4642025083,35241138,250002,34991136
10000000,3,2,-0.2,128,6160991289,4625461771,34251775,125002,34126773
10000000,3,2,-0.2,256,6608614568,4636113278,35756043,62502,35693541
10000000,3,2,-0.15,32,5827160151,4619716967,34444035,531252,33912783
10000000,3,2,-0.15,64,6460296605,4616684642,34565346,265626,34299720
10000000,3,2,-0.15,128,6069737637,4604073968,33886951,132814,33754137
10000000,3,2,-0.15,256,6360477177,4609556800,34069140,66408,34002732
10000000,3,2,-0.1,32,5495652859,4588331989,33423062,562502,32860560
10000000,3,2,-0.1,64,6297768166,4586596732,33555653,281252,33274401
10000000,3,2,-0.1,128,5822957169,4579206464,33290599,140626,33149973
10000000,3,2,-0.1,256,6027796541,4581561993,33482109,70314,33411795
10000000,3,2,-0.05,32,5299310957,4564371571,32315464,593752,31721712
10000000,3,2,-0.05,64,5412828159,4554424931,31993988,296876,31697112
10000000,3,2,-0.05,128,5682983922,4559794228,32246689,148438,32098251
10000000,3,2,-0.05,256,5599977183,4551422925,32318613,74220,32244393
