num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,750,5,2.03736,2128372434,1648938650,213068282,1350827794,70880878,2026014,790998,1235016,11349
1e+06,750,5,2.03558,2136067174,1648497002,215098002,1357067782,70334967,2024255,789250,1235005,11328
1e+06,1000,5,2.04118,2337085855,1720176475,212026069,1539147225,70835743,2032316,795148,1237168,8860
1e+06,1000,5,2.04064,2320204652,1708883997,213187182,1532216983,55799053,2031862,794713,1237149,8774
1e+06,1000,5,2.04028,2331354268,1714721416,214139960,1531163682,70630306,2031414,794255,1237159,8868
1e+06,1000,5,2.03983,2340654760,1728040336,213903266,1540383900,69923889,2030914,793749,1237165,8915
1e+06,1000,5,2.03695,2354986225,1714425442,214459813,1555013107,70336173,2028098,790943,1237155,8852
1e+06,1250,5,2.04341,2525432275,1772453606,212987192,1703490072,70660944,2036256,799858,1236398,7152
1e+06,1250,5,2.044,2637216612,1771197141,217384136,1800338472,71376736,2036790,800406,1236384,7215
1e+06,1250,5,2.04351,2552169730,1755012791,215385538,1726530860,70626042,2036411,800048,1236363,7096
1e+06,1250,5,2.04229,2508858228,1758637336,214931849,1680248239,71260451,2035214,798832,1236382,7071
1e+06,1250,5,2.04086,2616937461,1766210249,216267214,1784473698,71262258,2033808,797432,1236376,7052
1e+06,1500,5,2.04427,2778792599,1801734004,213269804,1943140278,68001969,2038217,799497,1238720,6054
1e+06,1500,5,2.04465,2762223586,1807000393,215430685,1924378484,68159424,2038664,799977,1238687,5981
1e+06,1500,5,2.04418,2775300027,1796879980,215300349,1937625151,68512053,2038138,799445,1238693,6044
1e+06,1500,5,2.04469,2689491543,1788724881,216210630,1854475516,69280254,2038688,799983,1238705,6007
1e+06,1500,5,2.04134,2721865874,1795382592,216277179,1888012828,68195277,2035261,796578,1238683,6075
1e+06,1750,5,2.04568,2860593246,1835320030,214155440,2021255132,67466161,2040437,799382,1241055,5238
1e+06,1750,5,2.04633,2952152178,1826593768,215609139,2101502099,67892375,2041173,800129,1241044,5157
